axis,layer,denominator,denominator_source,we_hold,gap,reachability,blocker,next_move
WORKS,named in our universe,10047,"census 3984 + backlog 520 + wave0 3 + Sefaria horizon 5538",10047,0,DONE,none,extends with each referee crawl
WORKS,admitted to rights census,10047,our own naming,3986,6061,OPEN,construction compute,canon queue waves 0-4 then horizon H1/H2/H3
WORKS,bridged (have C0),3986,admitted,4047,0,DONE,none,grows with admission
WORKS,served on the site,4047,bridged,3064,983,OPEN,"coordinate laws, kq review, attribution, text coverage",Elijah's named holds; all have owners
WORKS,canonical checklist,278,"corpus lane enumeration of the tradition's standard divisions",261,17,OPEN,acquisition,"DSS, Josephus x2, Sefer HaChinuch, Pardes Rimonim, Emunot veDeot, Or Hashem, Nefesh HaChaim, Michtav MeEliyahu, Pnei Yehoshua, Targum Pseudo-Jonathan, Mekhilta dRShbY, Kinot, Pirkei Shirah, Uktzin, Mikhlol, Masoret Seyag"
WORKS,Sefaria library,6604,their full index (sha-pinned),6604,0,DONE,none,census complete
WORKS,Hebrew Wikisource,unknown,1.54M pages crawled; work-grain undistilled,partial,unknown,OPEN,distillation not run,walk their category/index tree for work grain
WORKS,HebrewBooks scans,~65000,their catalog,0,~65000,WALLED,Cloudflare bot challenge,ask them directly or use IA mirrors
WORKS,Mif'al HaBibliografia,~90000,"bibliography of Hebrew printing 1469-1960 (editions, no text)",0,~90000,WALLED,NLI Cloudflare + API key,request an NLI API key
WORKS,Wikidata,618,SPARQL count of Hebrew-labeled religious texts,n/a,n/a,DEAD END,domain too sparse,do not pursue as denominator
EDITIONS,witnesses per work,4304,our own work-level stream slugs,4304,0,DONE,none,census complete
EDITIONS,works with 2+ witnesses,4304,same,2237,2067,OPEN,acquisition,"2067 works held in ONE copy cannot be checked against anything; 5 of 7 flattened Tanakh books are single-witness"
DEFINITIONS,attested keys,1277980,W inventory,1277980,0,DONE,none,census complete
DEFINITIONS,keys with a route,1277980,same,140532,1155591,OPEN,M acquisition,demand manifests by headword join; zero-route formulae first (shene'emar 81k occurrences)
DEFINITIONS,thin-route keys (1-2 routes),1277980,same,72255,72255,OPEN,M acquisition,second and third witnesses per key
DICTIONARIES,Sefaria lexicon API,4,"Klein, Jastrow, BDB, BDB-Augmented-Strong",2,2,OPEN,acquisition,"BDB + BDB-Augmented-Strong: same channel we already trust"
DICTIONARIES,open stack beyond Sefaria,4,"STEPBible TBESH, uW UHAL, Gesenius (Tregelles PD), OpenScriptures Strong's",0,4,OPEN,acquisition,all open-licensed and unwalled
APPARATUS,ketiv/qere pairs,852,"the classical Masoretic count, confirmed in our own streams",735 paired + 235 orphan halves,~117 sites,OPEN,MAM crawl,polite resumable crawl of MAM's own pages
APPARATUS,section marks,2464,"our extraction, cross-verified by the website lane to the mark",2464,0,DONE,none,ship to U ledger
APPARATUS,inverted nuns,9,"classical count: 7 Psalm 107 + 2 Numbers 10:35-36",7,2,OPEN,MAM crawl,the 2 missing are in Numbers — a flattened book
APPARATUS,books carrying apparatus,39,the biblical books,30,9,OPEN,"MAM restoration (7 flattened) + acquisition (2 absent)","Numbers, Leviticus, Esther, Song of Songs, Ruth, Malachi, Haggai flattened; Deuteronomy, Ezekiel absent"
APPARATUS,puncta extraordinaria (dots),~15,classical count in Torah,"8 found in Genesis, UNTYPED",unknown,OPEN,typing not built,they sit as bare Unicode inside words today
APPARATUS,sized/suspended/broken letters,~20,classical,0,~20,OPEN,needs a witness that marks them,unrepresentable in plain Unicode
STRUCTURE,coordinate dialects,51,our own census of held works,4 laws landed or drafted,47 tail dialects,OPEN,website lane laws,"variants A/B drafted with fixtures; 76 named-section works need a display ruling"
STRUCTURE,sectioning schemes served,5+,"chapter/verse, parashah, daf, tikkun, weekly readings",1,4+,OPEN,website lane,swappable TOC pills, each attested through X
REFEREES,chartered catalogs,20,the registry,2 censused,18,OPEN,politeness-paced crawls,"Ben-Yehuda, Dicta, Open Siddur, Orayta, Mamre, Daat, AlHaTorah next — all unwalled"
REFEREES,manuscript class,3+,"Ktiv ~90k MSS, Hachi Garsinan, Genizah units",0,all,OPEN,not started,unique witness class no text site carries
