"hold_id","commentary_title","v_work_id","v_membership_id","base_work_id","base_y_node_id","reported_review_class","review_report_authority","provider_identity_state","canonical_work_identity_state","v_membership_state","v_attachment_state","body_state","y_state","alignment_state","physical_occurrence_effect","current_effect","status"
"Y-V8-IK-COMM-HOLD-01","Radak on I Kings","V-WORK-003647","V-MEMBER-003930","tanakh/i-kings","Y-1KI-WORK-0001","FALSE_PRESENT_REPORTED__REOPEN_IDENTITY_CHECK","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-02","Metzudat David on I Kings","V-WORK-002839","V-MEMBER-003039","tanakh/i-kings","Y-1KI-WORK-0001","FALSE_PRESENT_REPORTED__REOPEN_IDENTITY_CHECK","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-03","Metzudat Zion on I Kings","V-WORK-002870","V-MEMBER-003070","tanakh/i-kings","Y-1KI-WORK-0001","FALSE_PRESENT_REPORTED__REOPEN_IDENTITY_CHECK","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-04","Minchat Shai on I Kings","V-WORK-002984","V-MEMBER-003188","tanakh/i-kings","Y-1KI-WORK-0001","FALSE_PRESENT_REPORTED__REOPEN_IDENTITY_CHECK","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-05","Malbim on I Kings","V-WORK-002434","V-MEMBER-002614","tanakh/i-kings","Y-1KI-WORK-0001","FALSE_PRESENT_REPORTED__REOPEN_IDENTITY_CHECK","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-06","Rashi on I Kings","V-WORK-003947","V-MEMBER-004238","tanakh/i-kings","Y-1KI-WORK-0001","DEFERRED_ATTACHMENT_REVIEW_REPORTED","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-07","Ralbag on I Kings","V-WORK-003670","V-MEMBER-003957","tanakh/i-kings","Y-1KI-WORK-0001","DEFERRED_ATTACHMENT_REVIEW_REPORTED","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-08","Abarbanel on I Kings","V-WORK-000008","V-MEMBER-000008","tanakh/i-kings","Y-1KI-WORK-0001","DEFERRED_ATTACHMENT_REVIEW_REPORTED","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-09","Chomat Anakh on I Kings","V-WORK-000931","V-MEMBER-001001","tanakh/i-kings","Y-1KI-WORK-0001","DEFERRED_ATTACHMENT_REVIEW_REPORTED","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-10","Marot HaTzoveot on I Kings","V-WORK-002542","V-MEMBER-002722","tanakh/i-kings","Y-1KI-WORK-0001","DEFERRED_ATTACHMENT_REVIEW_REPORTED","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
"Y-V8-IK-COMM-HOLD-11","Steinsaltz on I Kings","V-WORK-004500","V-MEMBER-004823","tanakh/i-kings","Y-1KI-WORK-0001","DEFERRED_ATTACHMENT_REVIEW_REPORTED","USER_SUPPLIED_MOSES_REVIEW_2026_08_20__NON_ADMISSION_EVIDENCE","RAW_V_WORK_ID_PRESERVED","HOLD_NO_CANONICAL_CONTENT_WORK_ID","BROAD_WORK_MEMBERSHIP_ONLY","HOLD_NO_V_EXACT_SEGMENT_ATTACHMENT","NO_EXACT_BN_C0_EVIDENCE_LINK_IN_THIS_CENSUS","NO_EXACT_CURRENT_Y_COMMENTARY_WORK_EVIDENCE","NO_EXACT_ALIGNMENT_IN_FULL_V_MEMBERSHIP__BROAD_WORK_OR_COLLECTION_ONLY","NONE","NONE","HOLD_COMMENTARY_Y__EXACT_WORK_ID_BODY_AND_V_SEGMENT_ATTACHMENT_REQUIRED"
